subscriber,subscription_length,launch,optin,source,state,emails,open_rate,click_rate,rec_open_rate,rec_click_rate,course_open_rate,course_click_rate,past_course_open_rate,past_course_click_rate,purchase_probability,purchase
406706004,134,Launch_6,MCDT,Unknown,cancelled,26,0.35,0.04,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
406757509,134,Launch_6,Influence Map,MCS Page,active,21,0.95,0.05,0.67,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
407652489,133,Launch_6,MCDT,Unknown,active,26,0.31,0.12,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
407961439,133,Launch_6,WAF ebook,MCS Page,active,23,0.17,0.04,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
409420260,132,Launch_6,Influence Map,MCS Page,active,21,0.05,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
409457171,132,Launch_6,Influence Map,Medium,active,21,0.19,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
409492173,131,Launch_6,Influence Map,MCS Page,active,21,0.67,0.05,0.0,0.0,0.57,0.0,0.4693398692810468,0.1440803621958105,0.0031362638399289066,False
409703361,131,Launch_6,MCDT,MCS Page,cancelled,27,0.44,0.11,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
409860189,131,Launch_6,Influence Map,Medium,active,21,0.57,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
409935194,131,Launch_6,Influence Map,MCS Page,active,25,0.08,0.08,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
410037690,131,Launch_6,Influence Map,Medium,active,21,0.71,0.1,0.0,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
410093425,131,Launch_6,Influence Map,MCS Page,active,27,0.41,0.07,0.33,0.0,0.67,0.67,0.4693398692810468,0.1440803621958105,1,True
410128010,131,Launch_6,MCDT,Unknown,active,26,0.58,0.04,0.67,0.0,0.43,0.14,0.4693398692810468,0.1440803621958105,0.005406038987310076,False
410928642,130,Launch_6,Influence Map,Skillshare,active,21,0.24,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
410933602,130,Launch_6,MCDT,Unknown,active,26,0.04,0.04,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
410969366,129,Launch_6,MCDT,Unknown,active,26,0.69,0.12,0.0,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
413079624,127,Launch_6,Influence Map,Medium,active,23,0.74,0.09,1.0,0.0,0.75,0.75,0.4693398692810468,0.1440803621958105,1,True
413097229,127,Launch_6,Influence Map,Medium,active,21,0.48,0.05,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
413319811,127,Launch_6,Influence Map,MCS Page,active,21,0.19,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
413565081,127,Launch_6,Influence Map,Skillshare,active,21,0.14,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
413792447,126,Launch_6,Influence Map,Medium,active,21,0.05,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
413861402,126,Launch_6,Tools,Medium,active,21,0.24,0.05,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
414895143,125,Launch_6,Influence Map,MCS Page,active,21,0.62,0.05,0.67,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
415247258,125,Launch_6,MCDT,Unknown,active,25,0.48,0.16,0.0,0.0,0.29,0.14,0.4693398692810468,0.1440803621958105,0.003978803367584046,False
415337660,49,Evergreen_2,Influence Map,Medium,cancelled,13,0.85,0.08,0.71,0.0,1.0,0.18,0.4693398692810468,0.1440803621958105,0.023736177743581954,False
415367217,124,Launch_6,Influence Map,Medium,active,21,0.57,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
415650296,124,Launch_6,Influence Map,MCS Page,active,21,0.05,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
416603869,123,Launch_6,WAF ebook,MCS Page,active,22,0.05,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
416702213,123,Launch_6,Influence Map,Medium,active,21,0.67,0.05,0.67,0.0,0.86,0.29,0.4693398692810468,0.1440803621958105,0.033792957565173525,False
